Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Lil Jessie,US,iPhone,0,black mi,Black Mirror: Bandersnatch,select,title_results,2023-06-18 20:23:14
Lil Jessie,US,Streaming Stick,0,bl,,select,title_results,2023-06-14 00:38:53
