Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Lil Jessie,"All American: Season 1: ""Back in The Day""",Apple iPhone SE 3rd Gen iPhone,2023-06-22 17:18:48,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":825000},{""eventType"":""playing"",""sessionOffsetMs"":7740,""mediaOffsetMs"":825000},{""eventType"":""paused"",""sessionOffsetMs"":24936,""mediaOffsetMs"":17000},{""eventType"":""reposition"",""sessionOffsetMs"":24936,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":32033,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":39590,""mediaOffsetMs"":7000},{""eventType"":""reposition"",""sessionOffsetMs"":39590,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":40409,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":41955,""mediaOffsetMs"":2000},{""eventType"":""reposition"",""sessionOffsetMs"":41955,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":42280,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":70281,""mediaOffsetMs"":28001},{""eventType"":""paused"",""sessionOffsetMs"":232136,""mediaOffsetMs"":182501},{""eventType"":""playing"",""sessionOffsetMs"":249467,""mediaOffsetMs"":182501},{""eventType"":""paused"",""sessionOffsetMs"":458994,""mediaOffsetMs"":392001},{""eventType"":""playing"",""sessionOffsetMs"":496022,""mediaOffsetMs"":392001},{""eventType"":""paused"",""sessionOffsetMs"":496587,""mediaOffsetMs"":392166},{""eventType"":""playing"",""sessionOffsetMs"":497742,""mediaOffsetMs"":392166},{""eventType"":""paused"",""sessionOffsetMs"":1031622,""mediaOffsetMs"":926001},{""eventType"":""playing"",""sessionOffsetMs"":1422273,""mediaOffsetMs"":926001},{""eventType"":""playing"",""sessionOffsetMs"":1422311,""mediaOffsetMs"":926039},{""eventType"":""playing"",""sessionOffsetMs"":1430273,""mediaOffsetMs"":934001},{""eventType"":""playing"",""sessionOffsetMs"":1438773,""mediaOffsetMs"":942501},{""eventType"":""playing"",""sessionOffsetMs"":1480772,""mediaOffsetMs"":984500},{""eventType"":""paused"",""sessionOffsetMs"":1694283,""mediaOffsetMs"":1197000},{""eventType"":""stopped"",""sessionOffsetMs"":2700808,""mediaOffsetMs"":1197000}]"
Lil Jessie,"All American: Season 1: ""All Eyez on Me""",Apple iPhone SE 3rd Gen iPhone,2023-06-22 16:33:08,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":501033},{""eventType"":""playing"",""sessionOffsetMs"":11225,""mediaOffsetMs"":501033},{""eventType"":""paused"",""sessionOffsetMs"":14100,""mediaOffsetMs"":503500},{""eventType"":""playing"",""sessionOffsetMs"":15758,""mediaOffsetMs"":503500},{""eventType"":""playing"",""sessionOffsetMs"":25758,""mediaOffsetMs"":513500},{""eventType"":""playing"",""sessionOffsetMs"":35759,""mediaOffsetMs"":523501},{""eventType"":""playing"",""sessionOffsetMs"":343760,""mediaOffsetMs"":831502},{""eventType"":""playing"",""sessionOffsetMs"":375260,""mediaOffsetMs"":863002},{""eventType"":""playing"",""sessionOffsetMs"":377260,""mediaOffsetMs"":865002},{""eventType"":""playing"",""sessionOffsetMs"":419079,""mediaOffsetMs"":900844},{""eventType"":""playing"",""sessionOffsetMs"":462494,""mediaOffsetMs"":940836},{""eventType"":""playing"",""sessionOffsetMs"":547097,""mediaOffsetMs"":1000911},{""eventType"":""playing"",""sessionOffsetMs"":599688,""mediaOffsetMs"":1053502},{""eventType"":""playing"",""sessionOffsetMs"":629690,""mediaOffsetMs"":1083504},{""eventType"":""paused"",""sessionOffsetMs"":650233,""mediaOffsetMs"":1104003},{""eventType"":""playing"",""sessionOffsetMs"":654959,""mediaOffsetMs"":1104003},{""eventType"":""playing"",""sessionOffsetMs"":655003,""mediaOffsetMs"":1104047},{""eventType"":""paused"",""sessionOffsetMs"":656267,""mediaOffsetMs"":1104999},{""eventType"":""playing"",""sessionOffsetMs"":1688031,""mediaOffsetMs"":1919500},{""eventType"":""paused"",""sessionOffsetMs"":1688698,""mediaOffsetMs"":1920501},{""eventType"":""playing"",""sessionOffsetMs"":2122232,""mediaOffsetMs"":1920501},{""eventType"":""paused"",""sessionOffsetMs"":2179085,""mediaOffsetMs"":1976501},{""eventType"":""playing"",""sessionOffsetMs"":2222488,""mediaOffsetMs"":1976501},{""eventType"":""stopped"",""sessionOffsetMs"":2743819,""mediaOffsetMs"":2497500}]"
Lil Jessie,"All American: Season 1: ""All Eyez on Me""",Apple iPhone SE 3rd Gen iPhone,2023-06-22 16:06:51,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":33},{""eventType"":""playing"",""sessionOffsetMs"":1213,""mediaOffsetMs"":33},{""eventType"":""paused"",""sessionOffsetMs"":3136,""mediaOffsetMs"":1000},{""eventType"":""reposition"",""sessionOffsetMs"":3136,""mediaOffsetMs"":37496},{""eventType"":""playing"",""sessionOffsetMs"":10366,""mediaOffsetMs"":37496},{""eventType"":""playing"",""sessionOffsetMs"":23371,""mediaOffsetMs"":50501},{""eventType"":""paused"",""sessionOffsetMs"":473225,""mediaOffsetMs"":500001},{""eventType"":""playing"",""sessionOffsetMs"":476290,""mediaOffsetMs"":500001},{""eventType"":""paused"",""sessionOffsetMs"":476991,""mediaOffsetMs"":501008},{""eventType"":""stopped"",""sessionOffsetMs"":1556566,""mediaOffsetMs"":501008}]"
Lil Jessie,The Breakfast Club,FireTV 4K Stick 2018,2023-06-21 07:46:20,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":899754,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1496670,""mediaOffsetMs"":595478},{""eventType"":""stopped"",""sessionOffsetMs"":1498025,""mediaOffsetMs"":595657}]"
Lil Jessie,Suits: Season 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-21 07:20:25,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1128,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":56342,""mediaOffsetMs"":54985}]"
Lil Jessie,Season 1 Part 2 Trailer: Break Point,FireTV 4K Stick 2018,2023-06-21 07:18:26,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1300,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":119567,""mediaOffsetMs"":117863}]"
Lil Jessie,Trailer: 85 South: Ghetto Legends,FireTV 4K Stick 2018,2023-06-21 07:17:15,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1574,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":71681,""mediaOffsetMs"":69854}]"
Lil Jessie,The Breakfast Club,FireTV 4K Stick 2018,2023-06-21 05:41:52,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2588,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5723643,""mediaOffsetMs"":5720730},{""eventType"":""stopped"",""sessionOffsetMs"":5724242,""mediaOffsetMs"":5720972}]"
Lil Jessie,The Breakfast Club_hook_02_16x9,FireTV 4K Stick 2018,2023-06-21 05:41:45,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1560,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":7317,""mediaOffsetMs"":4832},{""eventType"":""stopped"",""sessionOffsetMs"":8485,""mediaOffsetMs"":5658}]"
Lil Jessie,Trailer: Whitney Houston: I Wanna Dance with Somebody,FireTV 4K Stick 2018,2023-06-21 05:41:44,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":917},{""eventType"":""stopped"",""sessionOffsetMs"":1673,""mediaOffsetMs"":917}]"
Lil Jessie,Extraction_VAR2-CLIP_CHARACTER,FireTV 4K Stick 2018,2023-06-21 05:41:37,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2055,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":7142,""mediaOffsetMs"":4784},{""eventType"":""stopped"",""sessionOffsetMs"":8771,""mediaOffsetMs"":4784}]"
Lil Jessie,Upper Bound Clip 19: Entergalactic,FireTV 4K Stick 2018,2023-06-21 05:41:33,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1859,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4476,""mediaOffsetMs"":2247},{""eventType"":""stopped"",""sessionOffsetMs"":6123,""mediaOffsetMs"":2247}]"
Lil Jessie,"The Batman: Season 1: ""The Bat in the Belfry""",FireTV 4K Stick 2018,2023-06-21 05:41:16,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1502,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2285,""mediaOffsetMs"":409},{""eventType"":""playing"",""sessionOffsetMs"":12427,""mediaOffsetMs"":409},{""eventType"":""paused"",""sessionOffsetMs"":13964,""mediaOffsetMs"":1836},{""eventType"":""stopped"",""sessionOffsetMs"":15254,""mediaOffsetMs"":2158}]"
Lil Jessie,"The Batman: Season 1: ""The Bat in the Belfry""",FireTV 4K Stick 2018,2023-06-21 05:41:11,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1983,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4712,""mediaOffsetMs"":1831},{""eventType"":""stopped"",""sessionOffsetMs"":6075,""mediaOffsetMs"":2338}]"
Lil Jessie,The Batman: Season 1_hook_02_16x9,FireTV 4K Stick 2018,2023-06-21 05:41:09,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1646,""mediaOffsetMs"":0}]"
Lil Jessie,Season 1 Sensory Clip: Our Planet II,FireTV 4K Stick 2018,2023-06-21 05:41:09,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1225,""mediaOffsetMs"":0}]"
Lil Jessie,Limited Series Cliffhanger Clip: Arnold,FireTV 4K Stick 2018,2023-06-21 05:41:07,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1543,""mediaOffsetMs"":0}]"
Lil Jessie,Plot Clip: Black Clover: Sword of the Wizard King,FireTV 4K Stick 2018,2023-06-21 05:41:06,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1252,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1429,""mediaOffsetMs"":73},{""eventType"":""stopped"",""sessionOffsetMs"":2726,""mediaOffsetMs"":73}]"
Lil Jessie,Bunk'd: Season 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-21 05:41:04,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1541,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1718,""mediaOffsetMs"":15},{""eventType"":""stopped"",""sessionOffsetMs"":2880,""mediaOffsetMs"":142}]"
Lil Jessie,Season 6 Sensory Clip: Selling Sunset,FireTV 4K Stick 2018,2023-06-21 05:41:02,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1372,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1539,""mediaOffsetMs"":60},{""eventType"":""stopped"",""sessionOffsetMs"":3035,""mediaOffsetMs"":60}]"
Lil Jessie,Avatar: The Last Airbender: Book 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-21 05:40:54,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1541,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":6206,""mediaOffsetMs"":4403},{""eventType"":""stopped"",""sessionOffsetMs"":8363,""mediaOffsetMs"":4403}]"
Lil Jessie,Plot Clip: Black Clover: Sword of the Wizard King,FireTV 4K Stick 2018,2023-06-21 05:40:53,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1331,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1574,""mediaOffsetMs"":47},{""eventType"":""stopped"",""sessionOffsetMs"":3159,""mediaOffsetMs"":47}]"
Lil Jessie,The Batman: Season 1_hook_02_16x9,FireTV 4K Stick 2018,2023-06-21 05:40:51,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1443,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1745,""mediaOffsetMs"":70},{""eventType"":""stopped"",""sessionOffsetMs"":3192,""mediaOffsetMs"":70}]"
Lil Jessie,Plot Clip: Black Clover: Sword of the Wizard King,FireTV 4K Stick 2018,2023-06-21 05:40:49,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1766,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2359,""mediaOffsetMs"":405},{""eventType"":""stopped"",""sessionOffsetMs"":3825,""mediaOffsetMs"":405}]"
Lil Jessie,Avatar: The Last Airbender: Book 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-21 05:40:48,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1655,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1858,""mediaOffsetMs"":86},{""eventType"":""stopped"",""sessionOffsetMs"":3082,""mediaOffsetMs"":86}]"
Lil Jessie,Season 1 Moment of High Emotion Clip: The Ultimatum: Queer Love,FireTV 4K Stick 2018,2023-06-21 05:40:46,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1444,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1761,""mediaOffsetMs"":336},{""eventType"":""stopped"",""sessionOffsetMs"":3481,""mediaOffsetMs"":336}]"
