Esn,Country,Region Code,Device Description,Ip,Ts
NFCDSF-PH-K7EFY6TY1VPKPHM2RNYDE3N54U913H,US,FL,iPhone,2600:8807:9043:a300:f5bd:2ecb:725a:2d62,2023-05-31 03:15:45
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,US,FL,Apple iPhone SE 3rd Gen iPhone,2600:8807:9043:a300:e1e5:e2a3:ce:9fe6,2023-05-31 00:06:31
