Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Lil Jessie,NFCDCH-MC-K9A6JZA9YFF2GNQAWKQKLR5M783PP2,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,1970-01-01T00:00:00.000Z
Lil Jessie,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,FireTV 4K Stick 2018,2022-02-06T23:35:50.312Z,2023-06-23T03:41:01.672Z,2022-02-06T23:35:50.312Z,2023-06-23T03:41:01.009Z,2022-02-06T23:35:50.312Z,2023-06-23T03:41:01.672Z,2022-02-06T23:35:50.312Z,2023-06-23T03:41:01.009Z,1970-01-01T00:00:00.000Z
Lil Jessie,NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,Apple iPhone SE 3rd Gen iPhone,2023-05-11T03:07:13.740Z,2023-06-22T22:45:29.552Z,2023-05-11T03:07:13.740Z,2023-06-22T22:45:29.552Z,2023-05-11T03:07:13.740Z,2023-06-22T22:45:29.552Z,2023-05-11T03:07:13.740Z,2023-06-22T22:45:29.552Z,1970-01-01T00:00:00.000Z
Lil Jessie,NFCDSF-PH-K7EFY6TY1VPKPHM2RNYDE3N54U913H,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
Lil Jessie,NFCDSF-PH-K7E3T8JAFLJ488QVM3NRPMYTR4JMRP,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
