Devices,Date,Esn,Part Of Netflix Household
FIRETVSTICK2018,2023-06-22 00:00:00,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Yes
iPhone SE 3rd Gen,2023-06-15 00:00:00,NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,Yes
iPhone SE 3rd Gen,2023-06-13 00:00:00,NFAPPL-02-IPHONE14=6-PXA-0202H7P4DNLF8MK9MCTQ3TLH382BPN1A7M7JDEB7CF5NOVO5PA6POSNRTR4O23N30G58QNVOURULLUQL1VOCIOKTNT602F94A1G67FC5,Yes
iPhone-Safari,2023-05-31 00:00:00,NFCDSF-PH-K7E3T8JAFLJ488QVM3NRPMYTR4JMRP,Yes
iPhone-Safari,2023-05-31 00:00:00,NFCDSF-PH-K7EFY6TY1VPKPHM2RNYDE3N54U913H,Yes
